"Timestamp","Gender: ","What is your current occupation?","What are your hobbies? (You may select more than 1)","Do you enjoy socializing with large groups of people?","Do you enjoy challenges?","How creative of a person do you think you are?","How logical of a person do you think you are?","Would you prefer to engage your brain more than your body?","Are you a curious person?","Are you a perfectionist?","Are you a trusting person?","Do you have lot of patience?","Do you organize your schedule well?","Do you like to sit in front of a computer for long hours?","Do you enjoy making others happy?","Can you understand others' perspectives and feelings?","How confident are you in your own abilities?","What boosts your confidence ? ","I prefer to spend my money on....","How do you organize your thoughts? Please pick whichever is closest.","Choose a pet which you prefer to keep.","What is your favorite time of the day?","Would you rather visit the future or the past?","What do you worry more about the most?","When you retire, you'd like to live...","What is your favorite color?","What is your learning style? (Pick one that benefit you the most)"
"2021/05/08 11:37:59 PM GMT+8","Male","University student","Football;Playing computer games","2","3","2","3","3","4","3","3","4","3","4","4","4","3","When you accomplish a project","Home Improvements","Any combination of these","Cat","Night","Neither. I prefer the present","The state of the world","Exactly where I live now","Blue","By doing tutorial/lab questions"
"2021/05/08 11:43:38 PM GMT+8","Female","Employed","Jogging;Watching movies / Netflix","3","2","2","4","3","3","4","2","3","4","4","4","4","2","When someone acknowledges you","Food","I write it down in my calendar","Cat","Morning","The past","Your future","Traveling the world","Yellow","By reading a physical book"
"2021/05/09 12:22:49 AM GMT+8","Male","University student","Playing computer games;Reading;Collecting","2","2","3","4","4","4","2","3","4","4","5","2","3","4","When you accomplish a project","Food","Any combination of these","Dog","Night","Neither. I prefer the present","Your family and friends","In a small town","Black","By reading an e-Book"
"2021/05/09 1:59:49 AM GMT+8","Female","University student","Reading;Writing;Painting","2","2","4","3","4","4","4","4","2","3","2","2","4","5","When you accomplish a project","Food","I talk to myself out loud","Dog","Morning","Neither. I prefer the present","Your future","Exactly where I live now","Blue","By attending online courses"
"2021/05/09 7:18:08 AM GMT+8","Male","Employed","Badminton;Swimming;Jogging;Cooking","3","5","5","5","5","4","5","4","5","3","4","5","4","4","When you accomplish a project","Home Improvements","Jotting it down on a scrap of paper","Fish","Morning","The future","Your family and friends","In a small town","Blue","By reading a physical book"
"2021/05/09 8:36:16 AM GMT+8","Male","University student","Football;Jogging;Reading","2","3","3","3","3","4","3","3","3","1","1","3","3","3","When you accomplish a project","Home Improvements","Jotting it down on a scrap of paper","I'm not a pet person","Morning","Neither. I prefer the present","Your future","Cabin in the woods","Green","By reading a physical book"
"2021/05/09 10:14:39 AM GMT+8","Male","Retired","Swimming;sex","5","5","3","4","1","3","4","3","2","4","3","2","3","4","Get the most/ special attention among the members","Activities with friends","Any combination of these","Horse","Night","The past","The state of the world","Cabin in the woods","Black","By attending lectures"
"2021/05/09 11:31:05 AM GMT+8","Female","Employed","Cooking;Reading","4","4","4","3","5","4","3","4","3","2","5","5","4","4","When someone acknowledges you","Food","I make a chart or graph","Fish","Morning","Neither. I prefer the present","How others see me","In a small town","Purple","By attending lectures"
"2021/05/09 12:18:32 PM GMT+8","Male","University student","Badminton;Cooking;Reading;Writing","2","4","5","5","5","5","5","3","4","4","4","4","4","4","When someone acknowledges you","Food","Jotting it down on a scrap of paper","I'm not a pet person","Morning","The past","The state of the world","Exactly where I live now","Blue","By reading a physical book"
"2021/05/09 1:45:25 PM GMT+8","Female","University student","Badminton;Dancing;Reading;Singing;Searching for new music","3","4","4","3","4","4","4","3","2","4","4","4","4","4","When someone acknowledges you","Food","I talk to myself out loud","Dog","Morning","Neither. I prefer the present","Your family and friends","Traveling the world","Blue","By doing assignments"
"2021/05/09 1:56:25 PM GMT+8","Female","University student","Dancing;Reading;Painting;Singing","2","2","4","3","4","4","4","4","4","3","2","4","4","3","When someone acknowledges you","Activities with friends","Jotting it down on a scrap of paper","Cat","Evening","The past","Your future","Cabin in the woods","Black","By attending online courses"
"2021/05/09 3:16:58 PM GMT+8","Female","University student","Badminton;Playing computer games;Cooking;Singing","3","5","2","3","3","4","3","4","4","3","2","5","3","3","When someone acknowledges you","Activities with friends","I talk to myself out loud","Cat","Morning","The past","How others see me","Traveling the world","Blue","By attending lectures"
"2021/05/09 3:30:37 PM GMT+8","Male","University student","Jogging;Playing board games;Reading;Puzzles;Singing","3","3","4","4","4","3","4","3","3","3","2","4","3","3","When someone acknowledges you","Home Improvements","I write it down in my calendar","I'm not a pet person","Evening","Neither. I prefer the present","The state of the world","Exactly where I live now","Green","By attending lectures"
"2021/05/09 3:56:00 PM GMT+8","Female","University student","Playing computer games;Singing","1","5","4","4","5","5","4","2","3","1","5","2","5","4","When you accomplish a project","Food","Any combination of these","Dog","Night","Neither. I prefer the present","Money","In a small town","Purple","By doing assignments"
"2021/05/09 4:38:07 PM GMT+8","Female","Unemployed","Swimming;Playing computer games;Cooking;Reading","2","4","4","4","4","5","5","1","3","5","2","5","3","4","When you accomplish a project","Activities with friends","Any combination of these","Cat","Morning","The future","Your future","Overseas","Purple","By reading a physical book"
"2021/05/09 5:14:19 PM GMT+8","Female","University student","Dancing;Reading;Collecting","2","3","4","4","3","4","4","1","4","4","2","3","4","4","By leading others to success","Activities with friends","Jotting it down on a scrap of paper","Dog","Night","Neither. I prefer the present","Your future","Overseas","Green","By reading an e-Book"
"2021/05/09 6:21:39 PM GMT+8","Female","Employed","Swimming;Jogging;Gardening;Playing computer games;Playing board games;Cooking;Reading","1","5","1","5","5","5","3","1","5","5","3","1","1","3","When you accomplish a project","Food","Any combination of these","Fish","Morning","Neither. I prefer the present","The state of the world","Traveling the world","Blue","By reading a physical book"
"2021/05/09 8:42:24 PM GMT+8","Female","University student","Dancing;Cooking;Reading;Singing","1","3","3","4","4","4","3","2","3","3","3","3","4","3","When you accomplish a project","Home Improvements","Any combination of these","Cat","Morning","Neither. I prefer the present","Your future","Exactly where I live now","Purple","By reading a physical book"
"2021/05/09 9:47:20 PM GMT+8","Female","University student","Reading;Singing;taking a stroll, skateboarding, listening to music","3","4","3","4","3","4","5","2","2","4","2","3","4","4","When someone acknowledges you","The latest fashion","Any combination of these","Dog","Morning","The past","Your future","In a small town","Purple","By doing tutorial/lab questions"
"2021/05/09 9:50:05 PM GMT+8","Male","University student","Football;Badminton;Swimming;Jogging;Dancing;Playing computer games;Playing board games;Reading;Collecting;Puzzles","2","4","5","5","3","5","2","2","5","3","3","4","3","3","When someone acknowledges you","The latest technology","Any combination of these","Dog","Night","Neither. I prefer the present","The state of the world","Traveling the world","White","By doing assignments"
"2021/05/09 11:20:22 PM GMT+8","Female","University student","Gardening;Playing computer games;Cooking;Writing;Painting;Hiking","2","4","3","4","4","4","3","3","3","2","2","4","4","4","When you accomplish a project","Food","Any combination of these","I'm not a pet person","Afternoon","The future","The state of the world","Traveling the world","Blue","By doing tutorial/lab questions"
"2021/05/10 3:32:33 AM GMT+8","Male","University student","Badminton;Swimming;Jogging;Playing computer games;Playing board games;Cooking;Reading;Writing;Painting;Collecting;Puzzles","3","3","3","3","3","4","3","3","3","3","3","3","3","3","When you accomplish a project","Home Improvements","Any combination of these","I'm not a pet person","Morning","The future","Your future","Exactly where I live now","Purple","By doing tutorial/lab questions"
"2021/05/10 3:33:41 AM GMT+8","Female","University student","Swimming;Playing computer games;Reading;Writing","2","4","3","4","4","4","3","3","4","2","4","4","4","4","When someone acknowledges you","Activities with friends","Any combination of these","Cat","Night","The past","The state of the world","Exactly where I live now","Blue","By attending lectures"
"2021/05/10 5:08:45 AM GMT+8","Female","University student","Dancing;Cooking;Reading;Writing;Painting;Singing","3","3","4","4","3","4","3","3","3","5","4","4","4","4","When you accomplish a project","Home Improvements","Any combination of these","Cat","Night","The past","Your future","Overseas","Yellow","By reading a physical book"
"2021/05/10 8:08:17 AM GMT+8","Male","University student","Swimming;Dancing;Playing computer games;Singing;Exercising, Playing musical instrument (Piano)","1","3","4","4","3","4","4","3","4","4","4","4","4","4","When someone acknowledges you","Food","I write it down in my calendar","Cat","Morning","The past","Your future","In a hectic big city","Green","By doing assignments"
"2021/05/10 8:16:42 AM GMT+8","Male","Employed","Reading;Writing;Playing guitar","3","5","4","4","4","4","3","3","4","5","5","4","4","4","When you accomplish a project","The latest technology","Jotting it down on a scrap of paper","I'm not a pet person","Morning","Neither. I prefer the present","How others see me","Traveling the world","Blue","By doing tutorial/lab questions"
"2021/05/10 8:23:00 AM GMT+8","Female","University student","Playing computer games;Cooking;Puzzles","2","5","1","3","3","4","1","2","3","3","3","5","4","2","When you accomplish a project","Food","Jotting it down on a scrap of paper","I'm not a pet person","Morning","The past","Money","Traveling the world","Blue","By doing tutorial/lab questions"
"2021/05/10 9:04:23 AM GMT+8","Female","Employed","Badminton;Reading;Writing;Painting;Singing","2","2","4","4","4","4","4","3","4","3","2","4","4","2","When you accomplish a project","Food","Jotting it down on a scrap of paper","Hamster","Morning","Neither. I prefer the present","The state of the world","In a small town","Purple","By doing assignments"
"2021/05/10 9:39:22 AM GMT+8","Male","Employed","Jogging;Cooking;Reading","5","4","1","4","3","5","3","3","2","4","1","5","4","4","When someone acknowledges you","Food","Any combination of these","Dog","Evening","The past","How others see me","Overseas","Red","By attending lectures"
"2021/05/10 10:18:50 AM GMT+8","Female","University student","Reading","2","3","3","3","4","4","4","3","3","4","4","2","2","3","When you accomplish a project","Food","Any combination of these","Cat","Night","The past","Your future","In a small town","Black","By attending online courses"
"2021/05/10 10:22:51 AM GMT+8","Female","University student","Playing computer games;Playing board games;Reading;Collecting;Puzzles","1","4","3","4","5","4","4","2","1","2","4","4","4","3","When you accomplish a project","The latest technology","Any combination of these","Cat","Night","The future","Your future","Traveling the world","Blue","By doing assignments"
"2021/05/10 10:58:27 AM GMT+8","Female","Employed","sleep","4","3","2","3","2","4","3","5","3","2","4","5","3","2","When someone acknowledges you","Food","Any combination of these","Cat","Night","Neither. I prefer the present","Your future","Traveling the world","Yellow","By attending lectures"
"2021/05/10 11:09:09 AM GMT+8","Female","University student","Jogging;Playing computer games;Playing board games;Puzzles","2","4","3","4","4","4","3","3","2","4","4","4","4","2","When someone acknowledges you","Food","Jotting it down on a scrap of paper","I'm not a pet person","Night","Neither. I prefer the present","Your future","In a small town","Blue","By attending lectures"
"2021/05/10 11:25:57 AM GMT+8","Male","University student","Football;Gardening;Reading;Sleeping","4","4","4","4","3","4","3","4","5","2","5","3","4","3","When you accomplish a project","The latest technology","Any combination of these","Dog","Night","The past","Your family and friends","Traveling the world","Blue","By attending online courses"
"2021/05/10 11:37:23 AM GMT+8","Female","University student","Badminton;Reading;Writing","1","4","4","4","3","5","4","5","3","3","3","5","5","5","When you accomplish a project","Food","Any combination of these","I'm not a pet person","Evening","Neither. I prefer the present","How others see me","Cabin in the woods","Purple","By reading a physical book"
"2021/05/10 12:13:22 PM GMT+8","Female","University student","Dancing;Reading","1","1","1","3","3","4","1","1","4","4","1","2","1","3","When you accomplish a project","The latest fashion","I talk to myself out loud","I'm not a pet person","Night","Neither. I prefer the present","Your future","Traveling the world","Black","By doing tutorial/lab questions"
"2021/05/10 12:58:53 PM GMT+8","Male","University student","Football;Jogging;Reading;Writing","5","4","4","4","4","4","3","3","4","3","3","5","4","4","When you accomplish a project","The latest technology","Any combination of these","Cat","Night","Neither. I prefer the present","Your future","Traveling the world","Blue","By reading a physical book"
"2021/05/10 3:52:38 PM GMT+8","Female","University student","Gardening;Cooking;Reading;Painting;Puzzles","2","4","4","4","5","5","4","2","4","4","4","5","5","2","When you accomplish a project","Food","Any combination of these","Cat","Morning","The future","Your future","In a small town","Blue","By doing tutorial/lab questions"
"2021/05/10 4:28:55 PM GMT+8","Female","University student","Badminton;Jogging;Cooking","2","3","2","4","3","4","3","3","3","3","2","5","4","3","When someone acknowledges you","Food","I talk to myself out loud","Cat","Night","The future","Your future","In a small town","Purple","By attending online courses"
"2021/05/10 5:25:04 PM GMT+8","Female","University student","Jogging;Reading;Painting;Puzzles;Singing","2","4","3","4","4","4","4","3","4","4","4","4","4","4","When you accomplish a project","Food","Any combination of these","I'm not a pet person","Night","The past","The state of the world","Traveling the world","Blue","By reading a physical book"
"2021/05/10 5:29:52 PM GMT+8","Female","University student","Sleeping","3","3","2","3","3","4","4","2","1","3","1","3","3","3","When someone acknowledges you","Food","Any combination of these","Cat","Night","The future","Your future","Cabin in the woods","Black","By doing assignments"
"2021/05/10 5:36:57 PM GMT+8","Female","University student","Painting;walking in nature (jungle)","2","4","5","5","4","5","4","4","5","4","3","5","5","4","When someone acknowledges you","Activities with friends","Jotting it down on a scrap of paper","I'm not a pet person","Night","The past","The state of the world","Cabin in the woods","Blue","By attending lectures"
"2021/05/10 6:56:30 PM GMT+8","Female","Unemployed","Watching anime, youtube videos","2","4","4","2","5","4","2","3","3","2","3","4","2","2","When someone acknowledges you","Food","Any combination of these","Cat","Night","Neither. I prefer the present","How others see me","In a hectic big city","Blue","By attending lectures"
"2021/05/10 7:28:19 PM GMT+8","Female","Employed","Badminton;Dancing;Watching Tv shows","3","4","2","4","4","4","4","2","2","3","3","3","3","3","When you accomplish a project","Food","Any combination of these","Cat","Night","Neither. I prefer the present","Money","Traveling the world","Black","By reading a physical book"
"2021/05/10 7:30:07 PM GMT+8","Female","Employed","Reading","3","3","2","3","4","4","4","4","4","4","3","4","4","3","When you accomplish a project","The latest fashion","Jotting it down on a scrap of paper","Dog","Morning","The future","Your future","In a small town","Green","By attending lectures"
"2021/05/10 8:43:19 PM GMT+8","Female","University student","Badminton;Gardening;Cooking;Reading","3","3","4","4","4","5","4","2","4","2","2","5","4","4","When you accomplish a project","Home Improvements","I write it down in my calendar","Cat","Morning","The future","Your future","Traveling the world","Yellow","By reading a physical book"
"2021/05/11 2:06:56 AM GMT+8","Female","University student","Jogging;Collecting;Puzzles","4","3","2","4","3","4","4","3","4","3","2","3","4","4","When you accomplish a project","Food","Jotting it down on a scrap of paper","Horse","Morning","The future","The state of the world","Cabin in the woods","Blue","By reading a physical book"
"2021/05/11 2:30:32 AM GMT+8","Female","University student","Swimming;Dancing;Cooking;Reading;Writing;Filming ","1","4","4","4","4","5","3","3","2","3","3","5","5","5","When someone acknowledges you","The latest technology","Jotting it down on a scrap of paper","Dog","Night","Neither. I prefer the present","How others see me","Cabin in the woods","Red","By reading an e-Book"
"2021/05/11 8:05:20 AM GMT+8","Female","University student","Playing computer games;Cooking;Reading","2","4","3","4","4","4","5","3","4","5","4","5","3","4","When someone acknowledges you","Food","Any combination of these","I'm not a pet person","Morning","Neither. I prefer the present","How others see me","Traveling the world","Red","By reading a physical book"
"2021/05/11 9:21:27 AM GMT+8","Female","University student","Playing computer games;Playing board games","1","2","3","5","5","5","4","3","2","2","4","3","2","2","When someone acknowledges you","Food","Jotting it down on a scrap of paper","Snake","Morning","The future","Your future","Overseas","Yellow","By attending lectures"
"2021/05/11 10:47:10 AM GMT+8","Female","University student","Football;Swimming;Gardening;Painting","3","2","3","4","4","5","4","3","5","3","1","4","5","2","When you accomplish a project","Home Improvements","Any combination of these","Cat","Night","The past","Your family and friends","Traveling the world","Green","By doing tutorial/lab questions"
"2021/05/11 1:37:46 PM GMT+8","Female","University student","Playing computer games;Singing","3","2","4","4","4","5","4","4","5","1","5","5","2","3","When someone acknowledges you","Food","Any combination of these","Cat","Night","Neither. I prefer the present","Your future","In a hectic big city","Blue","By doing assignments"
"2021/05/11 2:47:56 PM GMT+8","Male","University student","Playing computer games;Reading","1","4","4","5","4","4","4","4","1","2","4","3","2","4","When you accomplish a project","Home Improvements","Jotting it down on a scrap of paper","Tortoise","Evening","The past","Your future","Exactly where I live now","Green","By reading a physical book"
"2021/05/12 7:41:30 AM GMT+8","Female","Employed","Playing computer games;Reading","1","2","3","4","5","4","3","2","4","4","5","3","2","2","When someone acknowledges you","The latest technology","Any combination of these","Cat","Night","The past","How others see me","In a small town","Blue","By reading a physical book"
"2021/05/12 11:13:02 AM GMT+8","Female","University student","Dancing;Playing computer games;Reading;Writing;Painting;Collecting;Singing","2","4","5","4","3","4","1","3","4","1","4","5","4","3","When you accomplish a project","The latest technology","Jotting it down on a scrap of paper","I'm not a pet person","Night","The future","Your future","Overseas","Green","By attending lectures"
"2021/05/12 12:14:15 PM GMT+8","Male","University student","Dancing;Writing;Puzzles;Playing a musical instrument (guitar), watching films ","3","4","4","4","3","5","5","1","2","5","1","5","4","4","When you accomplish a project","Activities with friends","Any combination of these","Dog","Morning","The past","Your future","In a small town","Blue","By reading a physical book"
"2021/05/12 4:23:55 PM GMT+8","Male","University student","Badminton;Collecting;Cycling","4","4","3","4","4","3","2","3","2","3","3","4","3","4","When you accomplish a project","Food","Jotting it down on a scrap of paper","I'm not a pet person","Night","The future","Your future","In a small town","Purple","By doing assignments"
"2021/05/12 4:45:03 PM GMT+8","Male","University student","Playing computer games;Reading;Listening to songs / music","4","3","2","4","4","4","4","4","4","2","5","5","4","3","When someone acknowledges you","Activities with friends","Any combination of these","I'm not a pet person","Night","The past","Your future","In a small town","Blue","By reading a physical book"
"2021/05/12 5:13:46 PM GMT+8","Male","University student","Badminton;Jogging;Puzzles","4","5","2","5","3","4","3","2","3","5","4","4","4","4","When you accomplish a project","Activities with friends","I write it down in my calendar","I'm not a pet person","Evening","The future","Money","Traveling the world","Purple","By doing tutorial/lab questions"
"2021/05/12 5:17:47 PM GMT+8","Male","University student","Jogging;Reading","2","2","4","3","3","4","3","4","3","5","3","4","4","4","By earning a lot of money","Activities with friends","Jotting it down on a scrap of paper","Cat","Morning","Neither. I prefer the present","The state of the world","In a small town","White","By reading a physical book"
"2021/05/12 5:23:05 PM GMT+8","Female","University student","Dancing;Playing computer games;Singing","4","4","4","3","4","4","2","4","2","4","5","5","4","3","When someone acknowledges you","The latest technology","Jotting it down on a scrap of paper","Dog","Night","The future","Your future","Overseas","Blue","By doing tutorial/lab questions"
"2021/05/12 5:26:12 PM GMT+8","Male","University student","Badminton;Jogging;Basketball ans Sleeping","4","4","3","4","3","4","4","4","3","5","2","4","4","4","When someone acknowledges you","Food","I write it down in my calendar","Dog","Night","The past","Your future","Overseas","Black","By doing tutorial/lab questions"
"2021/05/12 5:26:59 PM GMT+8","Male","University student","Playing computer games","1","5","3","4","4","5","2","4","4","3","2","1","4","4","When someone acknowledges you","Home Improvements","Jotting it down on a scrap of paper","Dog","Night","The future","The state of the world","In a small town","White","By doing assignments"
"2021/05/12 5:35:35 PM GMT+8","Male","University student","Badminton;Playing computer games;Singing","3","2","3","4","3","4","2","3","4","4","5","4","4","4","By leading others to success","Activities with friends","I write it down in my calendar","Dog","Morning","The past","Your future","Traveling the world","Black","By attending lectures"
"2021/05/12 6:04:13 PM GMT+8","Male","University student","Playing board games;Reading;Singing","3","3","3","5","4","4","4","4","2","4","2","5","3","3","When someone acknowledges you","Food","I write it down in my calendar","Rabbit","Evening","Neither. I prefer the present","How others see me","Traveling the world","Black","By doing assignments"
"2021/05/12 6:22:07 PM GMT+8","Male","University student","Badminton;Swimming","5","5","2","5","2","4","5","3","1","3","4","5","3","4","When you accomplish a project","Activities with friends","I write it down in my calendar","Rabbit","Night","The past","Your future","Overseas","Blue","By doing tutorial/lab questions"
"2021/05/12 7:52:08 PM GMT+8","Male","Employed","Swimming;Jogging;Dancing;Playing computer games;Cooking;Painting;Collecting;Singing","3","3","3","4","3","3","4","4","3","3","2","3","4","2","When someone acknowledges you","Home Improvements","Any combination of these","I'm not a pet person","Night","Neither. I prefer the present","Your future","In a small town","Green","By attending lectures"